Taxon,longitude,latitude
Spiraea_hypericifolia_subsp._hypericifolia,117.539,51.282
Spiraea_hypericifolia_subsp._hypericifolia,107.692,52.073
Spiraea_hypericifolia_subsp._hypericifolia,112.818,51.692
Spiraea_hypericifolia_subsp._hypericifolia,113.611,50.701
Spiraea_hypericifolia_subsp._hypericifolia,116.32,51.278
Spiraea_hypericifolia_subsp._hypericifolia,106.338,50.505
Spiraea_hypericifolia_subsp._hypericifolia,113.405,52.187
Spiraea_hypericifolia_subsp._hypericifolia,113.93,50.366
Spiraea_hypericifolia_subsp._hypericifolia,115.733,51.929
Spiraea_hypericifolia_subsp._hypericifolia,106.532,50.837
Spiraea_hypericifolia_subsp._hypericifolia,115.154,51.967
Spiraea_hypericifolia_subsp._hypericifolia,114.228,50.637
Spiraea_hypericifolia_subsp._hypericifolia,116.257,51.976
Spiraea_hypericifolia_subsp._hypericifolia,105.497,50.616
Spiraea_hypericifolia_subsp._hypericifolia,108.032,51.229
Spiraea_hypericifolia_subsp._hypericifolia,110.823,49.517
Spiraea_hypericifolia_subsp._hypericifolia,116.917,51.527
Spiraea_hypericifolia_subsp._hypericifolia,107.621,50.94
Spiraea_hypericifolia_subsp._hypericifolia,115.314,50.518
Spiraea_hypericifolia_subsp._hypericifolia,117.44,52.491
Spiraea_hypericifolia_subsp._hypericifolia,105.999,50.933
Spiraea_hypericifolia_subsp._hypericifolia,107.665,50.223
Spiraea_hypericifolia_subsp._hypericifolia,111.454,49.572
Spiraea_hypericifolia_subsp._hypericifolia,115.679,50.169
Spiraea_hypericifolia_subsp._hypericifolia,106.472,51.29
Spiraea_hypericifolia_subsp._hypericifolia,108.019,50.462
Spiraea_hypericifolia_subsp._hypericifolia,112.521,50.148
Spiraea_hypericifolia_subsp._hypericifolia,115.518,51.096
Spiraea_hypericifolia_subsp._hypericifolia,117.558,51.971
Spiraea_hypericifolia_subsp._hypericifolia,107.226,51.998
Spiraea_hypericifolia_subsp._hypericifolia,111.913,52.258
Spiraea_hypericifolia_subsp._hypericifolia,113.325,50.107
Spiraea_hypericifolia_subsp._hypericifolia,117.232,50.787
Spiraea_hypericifolia_subsp._hypericifolia,107.023,50.887
Spiraea_hypericifolia_subsp._hypericifolia,109.574,49.528
Spiraea_hypericifolia_subsp._hypericifolia,114.795,50.427
Spiraea_hypericifolia_subsp._hypericifolia,116.874,52.251
Spiraea_hypericifolia_subsp._hypericifolia,105.871042,47.674192
Spiraea_hypericifolia_subsp._hypericifolia,105.879035,47.763845
Spiraea_hypericifolia_subsp._hypericifolia,107.523858,51.23263
Spiraea_hypericifolia_subsp._hypericifolia,106.2575,48.461111
Spiraea_hypericifolia_subsp._hypericifolia,106.954619,48.125164
Spiraea_hypericifolia_subsp._hypericifolia,106.710833,48.013889
Spiraea_hypericifolia_subsp._hypericifolia,109.241111,52.188611
Spiraea_hypericifolia_subsp._hypericifolia,106.474678,49.246955
Spiraea_hypericifolia_subsp._hypericifolia,106.200278,48.449167
Spiraea_hypericifolia_subsp._hypericifolia,106.030278,46.216667
Spiraea_hypericifolia_subsp._hypericifolia,116.070738,50.480648
Spiraea_hypericifolia_subsp._hypericifolia,107.107857,51.146798
Spiraea_hypericifolia_subsp._hypericifolia,107.377067,51.745708
Spiraea_hypericifolia_subsp._hypericifolia,106.053056,47.433333
Spiraea_hypericifolia_subsp._hypericifolia,112.338397,49.755833
Spiraea_hypericifolia_subsp._hypericifolia,105.967222,50.555278
Spiraea_hypericifolia_subsp._hypericifolia,107.198116,51.693247
Spiraea_hypericifolia_subsp._hypericifolia,107.845828,51.288201
Spiraea_hypericifolia_subsp._hypericifolia,109.241287,52.18774
Spiraea_hypericifolia_subsp._hypericifolia,107.377067,51.745667
Spiraea_hypericifolia_subsp._hypericifolia,107.369811,51.753139
Spiraea_hypericifolia_subsp._hypericifolia,107.808994,51.90831
Spiraea_hypericifolia_subsp._hypericifolia,106.035,46.200556
Spiraea_hypericifolia_subsp._hypericifolia,107.556944,51.761111
Spiraea_hypericifolia_subsp._hypericifolia,107.564849,51.759546
Spiraea_hypericifolia_subsp._hypericifolia,107.918372,51.969008
Spiraea_hypericifolia_subsp._hypericifolia,112.1169,47.785558
Spiraea_hypericifolia_subsp._hypericifolia,107.843031,51.284314
Spiraea_hypericifolia_subsp._hypericifolia,104.9491,47.6532
Spiraea_hypericifolia_subsp._hypericifolia,114.812722,50.84359
Spiraea_hypericifolia_subsp._hypericifolia,107.443847,47.914892
Spiraea_hypericifolia_subsp._hypericifolia,108.489385,50.934152
Spiraea_hypericifolia_subsp._hypericifolia,107.471047,51.977695
Spiraea_hypericifolia_subsp._hypericifolia,113.458519,51.990092
Spiraea_hypericifolia_subsp._hypericifolia,107.423316,51.825186
Spiraea_hypericifolia_subsp._hypericifolia,107.666108,51.888981
Spiraea_hypericifolia_subsp._hypericifolia,107.163301,51.671566
Spiraea_hypericifolia_subsp._hypericifolia,106.050622,50.944067
Spiraea_hypericifolia_subsp._hypericifolia,107.539222,51.256455
Spiraea_hypericifolia_subsp._hypericifolia,107.517528,51.233095
Spiraea_hypericifolia_subsp._hypericifolia,107.365905,51.656362
Spiraea_hypericifolia_subsp._hypericifolia,108.613333,52.244722
Spiraea_hypericifolia_subsp._hypericifolia,107.481611,51.952053
Spiraea_hypericifolia_subsp._hypericifolia,107.427371,51.639423
Spiraea_hypericifolia_subsp._hypericifolia,107.100417,51.149727
Spiraea_hypericifolia_subsp._hypericifolia,107.414236,51.704608
Spiraea_hypericifolia_subsp._hypericifolia,108.341972,52.071761
Spiraea_hypericifolia_subsp._hypericifolia,115.166389,51.157778
Spiraea_hypericifolia_subsp._hypericifolia,115.678277,50.952065
Spiraea_hypericifolia_subsp._hypericifolia,113.604369,50.673152
Spiraea_hypericifolia_subsp._hypericifolia,112.292488,49.336868
Spiraea_hypericifolia_subsp._hypericifolia,107.376511,51.747558
Spiraea_hypericifolia_subsp._hypericifolia,111.425833,48.65
Spiraea_hypericifolia_subsp._hypericifolia,107.919992,51.935944
Spiraea_hypericifolia_subsp._hypericifolia,105.968611,50.556667
Spiraea_hypericifolia_subsp._hypericifolia,112.738056,49.001111
